City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
neuquen,ar,-38.95,-68.06,71.6,33,0,6.93
ust-tsilma,ru,65.44,52.15,33.7,85,80,7.94
puerto ayora,ec,-0.74,-90.35,82.98,66,0,9.17
fukuma,jp,33.77,130.47,44.35,100,75,11.41
itarema,br,-2.92,-39.92,78.07,95,68,3.24
chakradharpur,in,22.67,85.62,61.6,65,0,2.91
pisco,pe,-13.71,-76.2,71.6,30,0,21.92
sand,no,59.48,6.25,36.46,86,20,12.75
matamoros,mx,25.53,-103.23,86.65,10,5,2.24
veraval,in,20.9,70.37,78.34,61,0,10.96
oranjestad,aw,12.52,-70.03,82.4,69,40,23.04
agua dulce,mx,18.14,-94.15,80.6,74,20,11.41
quito,ec,-0.22,-78.51,53.15,87,75,5.82
minsk,by,53.9,27.56,33.8,74,0,4.47
colares,pt,38.8,-9.45,61.99,45,0,6.93
maloy,no,61.94,5.11,35.33,93,92,8.05
bredasdorp,za,-34.53,20.04,62.82,88,0,4.7
souillac,mu,-20.52,57.52,79.29,83,75,12.75
suntar,ru,62.16,117.65,3.28,73,64,2.68
sampit,id,-2.54,112.95,75.1,91,80,4.81
bonavista,ca,48.65,-53.11,34.0,87,32,14.0
belmonte,br,-26.84,-53.58,75.0,99,20,6.82
harper,lr,4.38,-7.71,84.55,93,12,10.4
neijiang,cn,29.59,105.06,43.6,89,0,2.8
leningradskiy,ru,69.38,178.42,0.4,94,56,7.05
san patricio,mx,19.22,-104.7,82.4,69,5,13.87
chingirlau,kz,51.09,54.08,35.77,87,80,13.76
hithadhoo,mv,-0.6,73.08,84.37,100,92,8.61
thompson,ca,55.74,-97.86,23.0,27,20,10.29
yulara,au,-25.24,130.99,75.2,50,24,11.41
bandar,id,-4.2,104.14,72.67,94,32,2.8
tuktoyaktuk,ca,69.44,-133.03,19.4,79,75,10.29
salalah,om,17.01,54.1,78.8,78,40,6.93
camacha,pt,33.08,-16.33,63.63,82,40,19.46
kapaa,us,22.08,-159.32,73.04,83,90,14.99
billings,us,45.79,-108.5,50.38,70,75,14.99
bambanglipuro,id,-7.95,110.28,71.14,98,56,2.68
gondanglegi,id,-7.75,112.01,72.22,97,76,2.68
pandan,ph,11.72,122.09,79.33,100,8,18.34
upata,ve,8.02,-62.41,93.28,29,0,8.05
ocos,gt,14.51,-92.19,88.48,59,40,14.99
tigil,ru,57.8,158.67,10.48,77,64,8.72
mahebourg,mu,-20.41,57.7,79.27,83,75,12.75
castro,cl,-42.48,-73.76,57.2,67,44,9.17
shimoda,jp,34.7,138.93,39.0,69,0,11.18
riyadh,sa,24.63,46.72,80.6,32,90,14.99
esperance,au,-33.86,121.89,57.2,58,90,10.29
upernavik,gl,72.79,-56.15,1.12,100,0,26.17
kloulklubed,pw,7.04,134.26,75.2,88,40,4.7
constitucion,mx,23.99,-104.67,78.17,6,5,5.82
hobbs,us,32.7,-103.14,76.93,11,1,11.41
beberibe,br,-4.18,-38.13,82.17,78,40,4.7
te anau,nz,-45.41,167.72,64.03,81,76,8.61
caravelas,br,-17.73,-39.27,83.2,98,44,15.32
hobyo,so,5.35,48.53,77.89,91,12,9.17
pangnirtung,ca,66.15,-65.72,17.95,68,76,28.74
kodiak,us,39.95,-94.76,53.6,93,90,10.29
severo-kurilsk,ru,50.68,156.12,25.78,100,36,13.76
busselton,au,-33.64,115.35,48.63,47,0,17.67
longyearbyen,sj,78.22,15.64,12.2,66,20,9.17
qaanaaq,gl,77.48,-69.36,-20.66,86,0,8.05
eyl,so,7.98,49.82,76.45,100,88,6.71
mar del plata,ar,-46.43,-67.52,64.84,57,12,7.61
morant bay,jm,17.88,-76.41,82.4,65,40,20.8
saint-philippe,re,-21.36,55.77,77.14,74,0,3.36
east london,za,-33.02,27.91,73.3,100,0,14.43
luanda,ao,-8.83,13.24,78.8,78,75,5.82
solnechnoye,ru,43.27,46.51,37.4,86,0,6.71
cherskiy,ru,68.75,161.3,-11.75,37,0,4.14
road town,vg,18.42,-64.62,78.98,69,75,11.41
siilinjarvi,fi,63.08,27.67,32.0,71,0,10.29
rocha,uy,-34.48,-54.34,65.83,60,32,18.01
dalbandin,pk,28.9,64.41,53.5,94,0,3.24
chornobay,ua,49.67,32.32,35.68,81,68,6.38
lebu,cl,-37.62,-73.65,55.75,91,0,23.15
poum,nc,-20.23,164.02,80.14,100,24,11.41
kushiro,jp,43.11,144.15,14.17,65,24,5.93
krasnovishersk,ru,60.4,57.08,25.15,89,64,9.17
zemio,cf,5.02,25.13,74.47,90,56,2.57
thunder bay,ca,48.41,-89.26,32.16,35,5,6.93
aljezur,pt,37.31,-8.8,59.31,73,0,10.63
bayeux,fr,49.28,-0.7,43.36,93,0,8.05
bathsheba,bb,13.22,-59.52,78.8,74,75,14.99
balabac,ph,7.99,117.06,81.67,99,68,13.76
oktyabrskoye,ru,56.73,85.44,28.09,79,0,4.47
harrison,us,39.26,-84.82,51.84,76,90,3.36
tabas,ir,33.6,56.92,66.2,37,0,4.7
cidreira,br,-30.17,-50.22,78.34,62,8,11.74
port alfred,za,-33.59,26.89,71.01,94,80,5.01
labuhan,id,-2.54,115.51,73.3,95,20,1.23
los llanos de aridane,es,28.66,-17.92,57.78,63,20,6.93
lorengau,pg,-2.02,147.27,80.86,100,64,7.94
willowmore,za,-33.3,23.49,51.25,91,20,2.46
nikolskoye,ru,59.7,30.79,32.63,69,0,6.71
paamiut,gl,61.99,-49.67,37.57,77,48,37.13
hami,cn,42.84,93.51,31.9,52,0,1.57
talcahuano,cl,-36.72,-73.12,64.4,59,0,18.34
lompoc,us,34.64,-120.46,64.4,55,1,4.7
novo aripuana,br,-5.12,-60.38,81.67,86,68,1.57
srednekolymsk,ru,67.46,153.71,-2.93,85,36,3.36
kahului,us,20.89,-156.47,75.83,57,40,18.34
kasane,bw,-17.8,25.16,69.25,67,0,3.13
egvekinot,ru,66.32,-179.17,2.11,81,80,5.14
namibe,ao,-15.19,12.15,77.62,100,0,9.17
qaqortoq,gl,60.72,-46.03,30.2,74,20,49.44
port keats,au,-14.25,129.55,83.38,90,76,14.2
ribeira grande,pt,38.52,-28.7,55.4,76,20,6.93
elizabeth city,us,36.3,-76.22,65.91,29,1,9.17
mollendo,pe,-17.03,-72.02,74.56,53,0,4.14
slave lake,ca,55.28,-114.77,48.2,56,75,16.11
steinkjer,no,64.02,11.49,31.89,100,90,3.36
korla,cn,41.76,86.15,50.0,69,48,2.46
novyy urengoy,ru,66.08,76.63,18.58,79,36,13.87
ixtapa,mx,20.71,-105.21,80.35,65,5,13.87
iberia,pe,-11.41,-69.49,83.56,75,20,2.91
peniche,pt,39.36,-9.38,59.79,45,0,6.93
rosarito,mx,27.04,-109.91,84.07,14,5,12.75
nanortalik,gl,60.14,-45.24,32.89,93,92,40.71
fortuna,us,40.6,-124.16,58.98,100,1,9.17
sitka,us,37.17,-99.65,63.0,52,0,8.01
margate,za,-30.86,30.37,76.36,88,88,12.97
osa,ru,57.28,55.46,29.11,94,24,5.37
whitehorse,ca,60.72,-135.06,46.35,33,75,5.82
zhigalovo,ru,54.81,105.15,8.05,68,32,2.57
daru,pg,-9.07,143.21,78.52,100,80,9.06
iqaluit,ca,63.75,-68.52,5.0,60,75,8.05
lloydminster,ca,53.28,-110.01,28.4,86,90,6.93
aksu,kz,52.04,76.93,28.4,100,90,4.03
majitha,in,31.76,74.96,57.45,93,40,4.7
kondoa,tz,-4.91,35.78,73.66,54,76,7.05
pevek,ru,69.7,170.27,-6.35,86,32,10.4
cayenne,gf,4.94,-52.33,78.8,78,0,8.05
mercedes,us,26.15,-97.91,81.25,58,75,16.11
ketchikan,us,55.34,-131.65,49.95,57,1,17.22
goure,ne,13.98,10.27,85.9,13,0,13.76
khanino,ru,55.23,40.07,33.01,97,100,4.0
muros,es,42.77,-9.06,57.72,50,0,8.05
arman,ru,59.7,150.17,-4.1,61,8,3.58
baykit,ru,61.68,96.39,17.41,83,88,2.8
tabou,ci,4.42,-7.36,84.37,93,32,11.97
chara,ru,56.9,118.26,-8.69,69,44,2.13
san mateo del mar,mx,16.21,-94.98,87.88,64,0,18.79
namtsy,ru,62.72,129.66,3.2,77,0,6.71
damaturu,ng,11.75,11.96,79.51,28,0,6.71
shingu,jp,33.72,135.99,51.43,100,0,5.7
quelimane,mz,-17.88,36.89,78.8,83,20,4.7
mayumba,ga,-3.44,10.65,80.68,97,88,7.27
zhezkazgan,kz,47.8,67.71,22.54,68,0,2.68
seminole,us,32.72,-102.64,78.53,11,1,11.41
bakel,sn,14.9,-12.46,85.54,38,12,7.83
balakhta,ru,55.38,91.62,28.75,93,92,4.7
dingle,ie,52.14,-10.27,48.55,92,88,12.41
newport,us,41.49,-71.31,46.9,31,90,14.99
saint george,bm,32.38,-64.68,61.84,55,75,10.29
medias,ro,46.17,24.35,44.85,65,0,3.36
trairi,br,-3.28,-39.27,80.77,100,92,7.27
geraldton,au,-28.77,114.6,68.0,37,0,26.4
kiama,au,-34.67,150.86,75.47,56,0,17.22
killybegs,ie,54.63,-8.45,43.0,85,92,1.99
high level,ca,58.52,-117.13,37.4,51,40,9.17
mingshui,cn,22.81,109.89,56.47,100,88,3.91
ponta do sol,pt,32.67,-17.1,61.47,72,40,17.22
hualmay,pe,-11.1,-77.61,75.01,67,24,4.36
tuatapere,nz,-46.13,167.69,66.0,89,68,1.99
pasighat,in,28.06,95.33,54.4,80,0,2.35
janakpur,np,26.73,85.92,63.04,62,0,3.8
santa fe,cu,23.13,-82.26,81.61,65,75,6.93
husavik,is,66.04,-17.34,32.0,99,75,9.17
richards bay,za,-28.77,32.06,75.01,81,20,9.51
san cristobal,ec,-1.02,-79.44,66.37,100,92,2.68
houma,cn,35.63,111.36,29.2,84,0,2.13
kuytun,ru,54.34,101.51,25.06,79,92,4.92
atar,mr,20.52,-13.05,66.28,33,0,2.8
xichang,cn,27.88,102.25,28.3,83,0,1.45
chokurdakh,ru,70.62,147.9,-13.01,60,20,3.13
hohhot,cn,40.81,111.65,19.4,41,0,6.71
osmena,ph,12.17,124.59,70.06,100,0,6.93
matay,eg,28.42,30.79,64.48,32,24,12.64
xining,cn,36.62,101.77,13.45,51,32,2.68
rani,in,25.35,73.31,65.56,53,0,2.68
singaraja,id,-8.11,115.08,70.78,100,44,2.24
akdepe,tm,42.05,59.39,46.67,75,0,2.24
hopkinsville,us,36.87,-87.49,67.48,42,90,14.99
gold coast,au,-28.0,153.41,78.6,78,12,12.75
samarai,pg,-10.62,150.67,79.87,100,88,15.66
half moon bay,us,37.46,-122.43,63.1,59,90,9.17
santa maria del oro,mx,25.95,-105.37,77.98,12,0,3.69
yellowknife,ca,62.45,-114.38,25.86,58,75,17.22
arraial do cabo,br,-22.97,-42.02,79.66,74,20,6.93
rio gallegos,ar,-51.62,-69.22,66.2,39,40,12.75
rochefort,fr,45.94,-0.97,46.44,81,0,11.41
rwamagana,rw,-1.95,30.43,62.32,89,8,2.46
bourail,nc,-21.57,165.5,76.27,86,24,5.37
norman wells,ca,65.28,-126.83,30.2,58,90,4.7
kruisfontein,za,-34.0,24.73,66.28,88,100,13.2
tura,ru,64.27,100.22,-0.05,72,32,2.13
priupskiy,ru,53.91,37.74,27.67,86,0,10.18
valparaiso,cl,-33.04,-71.63,60.39,87,75,11.41
adrar,dz,27.87,-0.29,71.6,21,0,10.29
murovani kurylivtsi,ua,48.71,27.54,32.71,83,0,2.91
panalingaan,ph,8.78,117.42,75.19,97,0,4.92
shirokiy,ru,53.87,39.17,34.0,96,0,3.0
taltal,cl,-25.41,-70.49,68.98,70,0,3.69
springbok,za,-29.67,17.88,54.67,80,0,3.36
tual,id,-5.67,132.75,84.55,97,56,9.4
paragominas,br,-3.0,-47.35,79.42,86,88,4.14
misratah,ly,32.38,15.09,52.69,98,0,2.91
ronneby,se,56.21,15.28,39.0,86,88,5.01
sabang,id,1.17,120.82,80.32,100,8,9.73
hovd,mn,48.01,91.64,15.07,59,12,3.91
portland,au,-33.35,149.98,59.11,96,80,7.0
kavali,in,14.91,79.99,73.3,94,8,3.8
port lincoln,au,-34.72,135.86,61.42,89,44,23.49
owando,cg,-0.49,15.91,72.85,93,8,2.13
marsa matruh,eg,31.35,27.25,59.0,58,0,16.11
evensk,ru,61.92,159.24,19.12,93,44,15.66
yerofey pavlovich,ru,53.97,121.97,15.79,57,80,10.07
vao,nc,-22.67,167.48,78.79,99,68,17.0
oyama,jp,36.31,139.8,42.3,15,0,4.59
nouadhibou,mr,20.93,-17.03,66.2,77,0,5.82
richmond,us,37.94,-122.35,62.78,59,90,9.17
nouakchott,mr,18.08,-15.98,64.4,82,0,14.99
saldanha,za,-33.01,17.94,62.6,88,0,6.93
chuy,uy,-33.69,-53.46,69.25,69,0,18.68
nizhniy odes,ru,63.64,54.86,34.69,86,92,7.72
martapura,id,-3.41,114.85,77.0,100,20,3.36
graaff-reinet,za,-32.25,24.53,60.79,77,0,6.15
ilulissat,gl,69.22,-51.1,30.2,54,68,20.8
sao filipe,cv,14.9,-24.5,69.7,100,0,10.4
alyangula,au,-13.85,136.42,84.2,83,75,8.05
lienz,at,46.83,12.77,40.28,84,12,1.68
chumikan,ru,54.72,135.31,-2.84,60,8,2.57
lakes entrance,au,-37.88,147.99,71.01,59,76,12.64
nagorsk,ru,59.32,50.8,29.29,92,80,12.75
cabo san lucas,mx,22.89,-109.91,79.57,44,5,10.29
katsuura,jp,33.93,134.5,40.1,75,75,9.17
charters towers,au,-20.07,146.27,73.21,92,8,5.93
itoman,jp,26.12,127.67,67.48,59,75,4.7
voh,nc,-20.95,164.69,79.06,100,20,12.64
comodoro rivadavia,ar,-45.87,-67.48,60.8,77,40,9.17
sinnamary,gf,5.38,-52.96,80.59,92,76,12.19
berdigestyakh,ru,62.1,126.7,7.51,73,68,7.61
ekhabi,ru,53.51,142.97,20.74,92,88,12.19
kerema,pg,-7.96,145.78,71.59,96,88,2.24
port-gentil,ga,-0.72,8.78,77.0,94,20,1.12
kurumkan,ru,54.33,110.32,-15.35,39,0,1.9
chiang klang,th,19.29,100.86,67.0,88,20,1.9
taoudenni,ml,22.68,-3.98,74.65,27,64,1.57
masumbwe,tz,-3.65,32.16,64.66,86,20,3.69
at-bashi,kg,41.17,75.81,6.34,66,0,0.78
jutai,br,-1.71,-47.89,78.07,91,80,3.47
curitibanos,br,-27.29,-50.58,73.0,99,8,1.99
savonlinna,fi,61.87,28.88,28.9,75,0,4.7
vila franca do campo,pt,37.72,-25.43,56.12,82,20,8.05
jiuquan,cn,39.73,98.49,16.42,59,0,5.82
ban phai,th,16.55,102.46,78.8,78,75,5.82
pleshanovo,ru,57.46,28.17,33.8,59,0,8.95
eureka,us,40.8,-124.16,58.98,100,1,10.29
xai-xai,mz,-25.04,33.64,75.91,100,0,7.27
yuancheng,cn,36.65,107.79,21.37,62,48,2.91
pierre,us,44.37,-100.35,35.4,93,90,12.75
qingdao,cn,36.09,120.35,44.6,75,44,6.71
maumere,id,-8.63,122.22,81.49,100,20,9.73
cockburn town,bs,24.03,-74.52,76.09,98,68,20.69
boksitogorsk,ru,59.47,33.85,32.0,72,68,3.0
toyooka,jp,35.55,134.82,41.0,75,75,11.41
san rafael del sur,ni,11.85,-86.44,93.2,36,40,16.11
obeliai,lt,55.94,25.8,29.65,69,32,8.39
kaitangata,nz,-46.28,169.85,63.31,95,44,2.91
leshukonskoye,ru,64.9,45.76,32.35,87,80,5.93
gizo,sb,-8.1,156.84,81.94,100,48,7.16
bitkine,td,11.98,18.21,79.15,32,12,6.93
omboue,ga,-1.57,9.26,81.94,100,56,9.84
hamilton,bm,32.3,-64.78,61.5,55,75,10.29
touho,nc,-20.78,165.23,76.9,79,80,7.94
santa catarina de tepehuanes,mx,25.34,-105.72,76.09,12,0,3.91
puteyets,ru,65.17,57.09,32.71,83,12,10.18
skibbereen,ie,51.55,-9.27,44.6,81,75,10.29
matagami,ca,49.76,-77.63,14.0,33,1,16.11
touros,br,-5.2,-35.46,82.4,78,0,8.05
witu,ke,-2.39,40.44,80.6,83,1,4.59
abalak,ne,15.46,6.28,82.48,21,44,11.07
qazvin,ir,36.28,50.01,42.52,96,64,6.6
anadyr,ru,64.73,177.51,21.97,85,75,24.61
yeppoon,au,-23.13,150.74,78.8,78,92,8.05
ewa beach,us,21.32,-158.01,78.42,44,1,10.29
santa ana,mx,30.54,-111.12,81.55,14,44,3.0
tshela,cd,-4.99,12.94,73.57,92,76,2.91
nago,jp,26.59,127.98,66.81,59,75,4.7
nome,us,30.04,-94.42,74.26,73,90,10.29
luderitz,na,-26.65,15.16,60.7,91,36,13.76
igrim,ru,63.19,64.42,32.89,76,88,6.71
petrolina de goias,br,-16.09,-49.34,74.32,74,20,5.82
batouri,cm,4.44,14.36,69.88,96,68,3.13
praia,cv,14.92,-23.51,69.8,60,20,10.29
antalaha,mg,-14.9,50.28,78.88,92,24,8.5
homer,us,59.64,-151.54,44.51,70,90,6.93
northam,au,-31.65,116.67,57.2,58,0,13.87
ahipara,nz,-35.17,173.16,68.26,86,0,6.15
varadero,cu,23.15,-81.25,78.8,65,75,13.87
tiarei,pf,-17.53,-149.33,87.4,66,75,16.11
kavieng,pg,-2.57,150.8,82.12,100,76,8.61
la palma,pa,8.4,-78.14,91.48,51,32,10.74
beringovskiy,ru,63.05,179.32,28.57,91,12,5.48
sosnovo-ozerskoye,ru,52.53,111.54,-2.75,64,0,3.69
tutoia,br,-2.76,-42.27,78.8,78,90,2.24
wagar,sd,16.15,36.2,76.63,27,0,4.36
hervey bay,au,-25.3,152.85,73.4,94,76,5.14
aykhal,ru,65.95,111.51,-16.61,45,0,2.68
south hill,us,47.12,-122.29,53.69,66,40,2.13
price,us,39.6,-110.81,44.8,46,90,16.11
kudahuvadhoo,mv,2.67,72.89,84.37,100,100,10.74
hopewell,us,37.3,-77.29,68.34,22,1,9.17
machilipatnam,in,16.18,81.14,76.18,91,0,4.92
adeje,es,28.12,-16.73,59.36,93,75,4.7
batemans bay,au,-35.71,150.18,65.28,69,88,4.0
umm lajj,sa,25.02,37.27,65.29,100,44,9.51
ipixuna,br,-1.76,-48.8,77.0,88,40,5.82
bontang,id,0.12,117.47,80.14,100,12,10.96
mmabatho,za,-25.85,25.61,68.0,72,0,4.7
nyurba,ru,63.29,118.35,3.28,72,64,3.47
pekan,my,3.49,103.39,77.0,94,75,2.91
back mountain,us,41.34,-76.0,50.63,23,75,7.49
coihaique,cl,-45.58,-72.07,59.0,54,0,4.7
praia da vitoria,pt,38.73,-27.07,58.53,87,20,9.51
plettenberg bay,za,-34.05,23.37,67.54,97,68,11.18
tazovskiy,ru,67.47,78.7,20.92,88,32,15.55
kamenka,ru,53.19,44.05,25.33,88,32,6.04
puerto narino,co,-3.77,-70.38,86.0,74,75,2.24
mao,td,14.12,15.31,85.0,21,0,12.64
qianan,cn,44.99,124.06,22.54,65,0,10.18
coffs harbour,au,-30.3,153.13,75.74,78,12,1.12
karasjok,no,69.47,25.52,28.4,79,75,29.97
buta,cd,2.79,24.73,73.03,93,20,2.13
acuitzio,mx,20.34,-101.98,82.75,20,0,2.8
kulhudhuffushi,mv,6.62,73.07,83.83,100,0,9.73
yatou,cn,33.81,104.32,22.72,100,0,1.68
gigmoto,ph,13.78,124.39,74.83,100,88,6.26
novosergiyevka,ru,52.08,53.65,34.87,92,88,13.76
haines junction,ca,60.75,-137.51,39.64,50,0,3.02
kampong chhnang,kh,12.25,104.67,70.24,100,92,3.13
rodrigues alves,br,-7.74,-72.65,86.0,79,40,4.7
okha,ru,53.59,142.95,20.74,92,88,12.19
port hedland,au,-20.31,118.58,77.0,94,75,31.09
yzeure,fr,46.57,3.36,40.57,87,75,4.7
oum hadjer,td,13.3,19.7,86.44,17,0,12.64
makakilo city,us,21.35,-158.09,78.57,44,1,10.29
rafai,cf,4.95,23.92,76.45,80,32,4.14
axim,gh,4.87,-2.24,84.46,93,92,12.41
cotonou,bj,6.37,2.43,84.2,79,20,8.05
ostrovnoy,ru,68.05,39.51,30.64,90,88,14.2
jaisalmer,in,26.91,70.91,66.91,67,0,7.27
college,us,64.86,-147.8,45.48,52,40,4.7
turukhansk,ru,65.8,87.96,23.53,86,88,7.94
palana,ru,59.08,159.95,11.47,66,56,7.38
salina,us,36.29,-95.15,67.28,63,1,6.93
tessalit,ml,20.2,1.01,75.55,20,92,4.59
altayskoye,ru,51.95,85.34,31.72,97,92,6.6
kalevala,ru,65.2,31.17,32.71,86,88,6.6
miramar,mx,20.64,-103.45,84.04,20,5,9.17
krutikha,ru,53.96,81.21,16.24,66,32,4.14
bardiyah,ly,31.76,25.09,59.08,86,0,19.24
kande,tg,9.96,1.04,86.0,42,0,4.7
manzhouli,cn,49.6,117.43,15.25,34,0,14.09
morros,br,-2.87,-44.04,77.0,94,75,4.7
guangyuan,cn,32.43,105.86,31.9,82,0,2.35
batagay-alyta,ru,67.8,130.41,-26.15,36,0,3.24
sayyan,ye,15.17,44.32,51.25,68,0,1.79
naigarhi,in,24.78,81.78,64.48,47,0,2.68
oistins,bb,13.07,-59.53,78.8,74,75,14.99
bauchi,ng,10.31,9.85,74.29,56,56,2.57
bestobe,kz,52.5,73.1,19.39,67,68,2.91
laparay,ph,7.4,122.82,78.34,100,36,0.89
lavrentiya,ru,65.58,-170.99,31.81,99,92,21.03
nador,ma,35.17,-2.93,58.08,87,0,1.12
ryotsu,jp,38.08,138.43,35.6,74,20,9.17
bykovo,ru,49.76,45.39,33.43,99,88,4.36
swan river,ca,52.11,-101.27,26.32,64,0,4.7
mayskiy,ru,43.63,44.06,37.4,74,90,4.92
kavaratti,in,10.57,72.64,83.47,100,0,2.8
camocim,br,-2.9,-40.84,77.08,95,76,3.24
baramula,in,34.2,74.35,29.92,96,8,0.89
bilibino,ru,68.06,166.44,2.65,62,8,6.04
damavand,ir,35.72,52.07,57.2,47,75,4.7
ostersund,se,63.18,14.64,26.73,79,0,6.93
suamico,us,44.63,-88.04,37.76,60,90,16.11
manadhoo,mv,5.77,73.38,83.65,100,0,10.18
coos bay,us,43.37,-124.22,59.65,62,1,10.29
chapais,ca,49.78,-74.86,12.2,30,1,11.41
carauari,br,-4.88,-66.9,85.54,78,20,3.47
aklavik,ca,68.22,-135.01,30.2,54,40,3.02
inhambane,mz,-23.87,35.38,74.65,100,0,7.94
fonte boa,br,-2.51,-66.09,85.0,79,36,2.13
aswan,eg,24.09,32.9,69.8,26,0,14.99
ulladulla,au,-35.36,150.48,74.26,56,0,17.22
baghdad,iq,33.3,44.38,64.4,72,0,24.16
karratha,au,-20.74,116.85,76.18,89,92,32.55
banamba,ml,13.55,-7.45,84.55,46,80,4.14
maracas,br,-13.44,-40.43,71.95,94,92,2.46
conde,br,-11.81,-37.61,78.25,100,88,3.69
tuchkovo,ru,55.6,36.47,30.87,89,0,8.95
grindavik,is,63.84,-22.43,31.42,100,0,8.05
ambo,pe,-10.13,-76.2,55.84,84,92,3.02
verkhnyaya inta,ru,65.99,60.32,34.24,73,88,8.05
sola,vu,-13.88,167.55,80.6,88,90,4.92
boyolangu,id,-8.09,111.9,72.22,97,76,2.68
sorland,no,67.67,12.69,32.0,99,90,17.22
quime,bo,-16.98,-67.22,62.14,55,24,2.01
khash,ir,28.22,61.21,38.92,83,0,2.8
olot,uz,39.42,63.81,50.97,81,20,4.7
trelew,ar,-43.25,-65.31,61.78,49,8,9.28
buala,sb,-8.15,159.59,83.02,88,76,6.15
sobolevo,ru,54.43,31.9,31.18,62,0,9.73
